field	discovery_year	status	recoverable_oil	recoverable_gas	recoverable_oe	produced_oil	produced_gas
25/11-1 BALDER	1967	PRODUCING	71.50	1.90	73.40	60.49	1.47
7/11-1 COD	1968	SHUT DOWN	2.90	7.30	10.70	2.88	7.28
2/4-2 EKOFISK	1969	PRODUCING	553.90	162.20	730.50	453.15	143.54
2/4-6 VEST EKOFISK	1970	SHUT DOWN	12.20	26.00	39.60	12.15	25.97
2/5-1 TOR	1970	PRODUCING	24.40	11.30	36.90	24.29	10.86
2/7-1 ELDFISK	1970	PRODUCING	133.90	43.10	180.90	104.59	39.94
25/1-1 FRIGG	1971	SHUT DOWN	0.00	116.20	116.70	0.00	116.17
1/6-1 ALBUSKJELL	1972	SHUT DOWN	7.40	15.50	23.90	7.35	15.53
17/12-1 VETTE	1972	PLANNING PHASE	7.20	0.00	7.20	0.00	0.00
2/5-3 (Sørøst Tor)	1972	DEVELOPMENT LIKELY BUT NOT CLARIFIED	3.10	0.87	3.97	0.00	0.00
2/7-4 EDDA	1972	SHUT DOWN	4.80	2.00	7.00	4.82	1.98
25/4-1 HEIMDAL	1972	SHUT DOWN	6.50	45.20	51.70	6.53	45.24
25/2-1 ØST FRIGG	1973	SHUT DOWN	0.00	9.20	9.30	0.00	9.22
1/5-2 FLYNDRE	1974	PDO APPROVED	0.40	0.10	0.50	0.00	0.00
15/6-3 SLEIPNER VEST	1974	PRODUCING	3.40	135.20	178.20	0.72	5.00
2/11-2 HOD	1974	PRODUCING	10.50	1.80	12.70	9.60	1.65
25/1-4 NORDØST FRIGG	1974	SHUT DOWN	0.00	11.60	11.70	0.00	11.59
30/10-2 ODIN	1974	SHUT DOWN	0.00	27.30	27.50	0.00	27.26
33/12-1 STATFJORD	1974	PRODUCING	573.70	80.30	678.00	569.29	69.44
15/3-1 S GUDRUN	1975	PRODUCING	15.30	9.50	26.50	1.31	0.79
2/8-6 VALHALL	1975	PRODUCING	148.50	27.60	181.60	110.03	21.21
25/2-4 LILLE-FRIGG	1975	SHUT DOWN	1.30	2.20	3.50	1.33	2.19
33/9  MURCHISON	1975	SHUT DOWN	13.90	0.30	14.50	13.86	0.35
25/2-5 LILLE FRØY	1976	DEVELOPMENT LIKELY BUT NOT CLARIFIED	3.03	1.57	4.60	0.00	0.00
33/9-7 STATFJORD ØST	1976	PRODUCING	36.90	4.00	43.00	36.66	3.99
7/12-2 ULA	1976	PRODUCING	84.10	3.90	91.20	73.47	3.85
1/9-1 TOMMELITEN ALPHA	1977	PLANNING PHASE	7.83	13.64	21.96	0.00	0.00
33/9-8 STATFJORD NORD	1977	PRODUCING	42.60	2.20	45.90	36.96	2.32
1/9-4 TOMMELITEN GAMMA	1978	SHUT DOWN	3.90	9.70	14.20	3.87	9.69
15/5-1 GINA KROG	1978	PDO APPROVED	15.30	12.40	32.60	0.00	0.00
15/5-2 EIRIN	1978	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.00	6.11	6.54	0.00	0.00
30/7-6 MARTIN LINGE	1978	PDO APPROVED	5.90	19.50	30.00	0.00	0.00
34/10-1 GULLFAKS	1978	PRODUCING	374.50	23.10	400.40	358.78	23.08
34/10-2 GULLFAKS SØR	1978	PRODUCING	62.80	83.20	157.60	46.96	39.39
30/6-1 OSEBERG	1979	PRODUCING	392.40	112.90	517.90	367.87	41.01
31/2-1 TROLL VEST	1979	PRODUCING	281.20	1432.80	1740.40	242.69	488.02
34/4-1 SNORRE	1979	PRODUCING	259.50	6.60	270.90	196.53	6.35
18/10-1 (Mackerel)	1980	DEVELOPMENT LIKELY BUT NOT CLARIFIED	1.22	0.00	1.22	0.00	0.00
2/1-3 GYDA	1980	PRODUCING	36.50	6.30	44.70	35.93	6.19
31/4-3 BRAGE	1980	PRODUCING	60.70	4.30	66.40	56.41	3.45
15/9-9 SLEIPNER ØST	1981	PRODUCING	0.20	67.60	107.90	0.06	199.97
30/3-2  VESLEFRIKK	1981	PRODUCING	54.80	5.60	62.30	53.36	2.77
30/6-5 OSEBERG ØST	1981	PRODUCING	25.70	0.40	26.20	19.54	0.31
35/8-1 VEGA	1981	PRODUCING	7.90	17.30	30.60	3.81	5.10
6507/11-1 MIDGARD	1981	PRODUCING	102.50	207.50	364.80	88.26	143.93
7120/12-2 (Alke)	1981	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.00	11.37	12.39	0.00	0.00
15/8-1 (Alpha)	1982	PLANNING PHASE	0.00	2.31	4.40	0.00	0.00
15/9-15 GUNGNE	1982	PRODUCING	0.20	15.20	22.00	0.05	0.00
16/7-4 SIGYN	1982	PRODUCING	0.10	6.70	15.50	0.04	6.64
30/2-1 HULDRA	1982	SHUT DOWN	5.20	17.30	22.60	5.20	17.34
7/11-5 MIME	1982	SHUT DOWN	0.40	0.10	0.50	0.37	0.08
1/3-3 TAMBAR	1983	PRODUCING	10.00	2.10	12.60	9.76	0.00
6407/1-2 TYRIHANS SØR	1983	PRODUCING	35.30	42.80	85.80	23.15	2.34
15/12-4 VARG	1984	PRODUCING	16.50	0.70	17.30	15.94	0.13
30/9-3 OSEBERG SØR	1984	PRODUCING	68.20	19.90	90.60	48.62	9.65
6407/9-1 DRAUGEN	1984	PRODUCING	145.70	1.70	150.30	135.31	1.63
7121/4-1 SNØHVIT	1984	PRODUCING	0.00	218.70	252.30	0.00	29.75
34/10-23 VALEMON	1985	PRODUCING	4.70	23.40	29.30	0.01	0.08
6/3-1 PI	1985	PRODUCING	0.20	0.40	0.60	0.18	0.37
6506/12-3 (Lysing)	1985	DEVELOPMENT LIKELY BUT NOT CLARIFIED	1.19	0.17	1.40	0.00	0.00
6507/7-2 HEIDRUN	1985	PRODUCING	183.30	47.30	232.80	148.68	16.20
25/2-10 S (Frigg-GammaDelta)	1986	PLANNING PHASE	14.42	0.00	14.42	0.00	0.00
34/7-8 VIGDIS	1986	PRODUCING	70.30	2.00	73.80	55.90	1.82
34/8-1 VISUND	1986	PRODUCING	35.50	55.20	97.20	25.28	8.25
6406/3-2 (Trestakk)	1986	PLANNING PHASE	8.84	1.68	10.94	0.00	0.00
6407/7-1 S NJORD	1986	PRODUCING	29.50	18.60	52.00	26.20	9.08
2/12-1 MJØLNER	1987	DEVELOPMENT LIKELY BUT NOT CLARIFIED	3.00	0.81	3.89	0.00	0.00
25/5-1 FRØY	1987	SHUT DOWN	5.60	1.60	7.30	5.55	1.61
34/7-12 TORDIS	1987	PRODUCING	64.20	4.70	70.70	56.61	4.29
6407/6-3 MIKKEL	1987	PRODUCING	6.20	32.50	49.60	3.79	18.19
7122/6-1 (Tornerose)	1987	PLANNING PHASE	0.00	3.69	3.87	0.00	0.00
9/2-1 YME	1987	SHUT DOWN	7.90	0.00	7.90	7.91	0.00
2/7-20 EMBLA	1988	PRODUCING	12.80	5.90	19.40	10.65	3.99
1/2-1 BLANE	1989	PRODUCING	0.90	0.00	0.90	0.64	0.00
35/9-1 GJØA	1989	PRODUCING	11.80	34.90	55.10	8.63	12.63
25/5-3 SKIRNE	1990	PRODUCING	2.30	10.20	12.50	1.87	9.77
3/7-4 TRYM	1990	PRODUCING	1.60	4.10	5.70	1.11	1.96
35/11-4 FRAM	1990	PRODUCING	34.50	10.00	45.30	29.36	3.74
6507/3-1 ALVE	1990	PRODUCING	1.70	5.70	8.40	1.40	3.88
1/3-6 OSELVAR	1991	PRODUCING	0.90	0.50	1.40	0.44	0.00
15/5 ENOCH/SELE	1991	PRODUCING	0.30	0.00	0.30	0.28	0.00
25/11-15 GRANE	1991	PRODUCING	142.40	0.00	142.40	98.88	0.00
25/4-6 S VALE	1991	PRODUCING	2.50	2.40	4.90	1.75	1.50
6506/11-2 (Lange)	1991	DEVELOPMENT LIKELY BUT NOT CLARIFIED	0.54	0.24	0.84	0.00	0.00
25/11-16 SVALIN	1992	PRODUCING	7.40	0.00	7.40	1.20	0.00
6507/2-2 MARULK	1992	PRODUCING	0.50	7.40	8.60	0.19	2.03
6608/10-2 NORNE	1992	PRODUCING	90.80	11.30	103.50	88.53	6.86
7/7-2 BRYNHILD	1992	PRODUCING	3.70	0.00	3.70	0.02	0.00
